id,label,country,Lat ,Lon
EVH,Evans Head,Australia,-29.1,153.416667
EXM,Exmouth Gulf,Australia,-22.383333,114.116667
FIK,Finke,Australia,-25.583333,134.6
FIZ,Fitzroy Crossing,Australia,-18.166667,125.55
FLC,Falls Creek,Australia,-34.983333,150.6
FLS,Flinders Island,Australia,-40.083333,148.0
FLY,Finley,Australia,-35.65,145.583333
FOS,Forrest,Australia,-30.838056,128.115
FOT,Forster,Australia,32.183333,152.516667
FRB,Forbes,Australia,-33.38960407,148.0199983
FSL,Fossil Downs,Australia,-18.2,125.75
FVL,Flora Valey,Australia,-18.333333,128.0
FVR,Forrest River Airport,Australia,-15.3,128.066667
GAH,Gayndah,Australia,-25.616667,151.616667
GBL,Goulburn Island,Australia,-11.666667,133.416667
GBP,Gamboola,Australia,-16.55,143.666667
GBV,Gibb River,Australia,-16.333333,126.366667
GDD,Gordon Downs,Australia,-18.833333,128.533333
GET,Geraldton,Australia,-28.77,114.61
GEX,Geelong,Australia,-38.16749505,144.3956335
GFE,Grenfell,Australia,-33.9,148.166667
GFF,Griffith,Australia,-34.29001422,146.0400158
GFN,Grafton,Australia,-29.71199909,152.9376827
GGD,Gregory Downs,Australia,-18.7,139.25
GIC,Boigu Island,Australia,-9.266667,142.2
GKL,Great Keppel Island,Australia,-23.183333,150.95
GLG,Glengyle,Australia,-24.766667,139.583333
GLI,Glen Innes,Australia,-29.683333,151.7
GLM,Glenormiston,Australia,-22.283333,138.316667
GLT,Gladstone,Australia,-23.8533386,151.2467264
GLY,Goldsworthy,Australia,-20.083333,119.666667
GOO,Goondiwindi,Australia,-28.55480874,150.325284
GOS,Gosford,Australia,-33.433333,151.35
GOV,Nhulunbuy,Australia,-12.166667,136.675
GPN,Garden Point,Australia,-11.4,130.433333
GSC,Gascoyne Junction,Australia,-25.05,115.2
GSN,Mount Gunson,Australia,-31.866667,138.2
GTE,Groote Eylandt,Australia,-14.0,136.5
GTS,The Granites,Australia,-26.966667,133.616667
GUH,Gunnedah,Australia,-30.9870117,150.2622904
GUL,Goulburn,Australia,-34.74957273,149.7101794
GVP,Greenvale,Australia,-15.783333,144.616667
GYL,Argyle,Australia,-16.640833,128.45
GYP,Gympie,Australia,-26.18859658,152.6709289
HAT,Heathlands,Australia,-19.720833,140.583333
HBA,Hobart,Australia,-42.9,147.3
HCQ,Halls Creek,Australia,-18.26670286,127.7667126
HGD,Hughenden,Australia,-20.85000771,144.2000248
HID,Horn Island,Australia,-10.536667,142.29
HIG,Highbury,Australia,-16.433333,143.15
HIH,Hook Island,Australia,-20.166667,148.95
HIP,Headingly,Australia,-21.316667,138.3
HIS,Hayman Island,Australia,-20.066667,148.866667
HLL,Hillside,Australia,-17.0,128.008333
HLS,St Helens,Australia,-41.0,148.175
HLV,Helenvale,Australia,-15.683333,145.2
