id,label,country,Lat ,Lon
TYN,Taiyuan,China,37.87501243,112.5450577
URC,Urumqi,China,43.80501223,87.57500565
UYN,Yulin,China,22.62997398,110.1500101
WEF,Weifang,China,36.7204059,119.1001098
WEH,Weihai,China,37.49997072,122.0999784
WHU,Wuhu,China,31.3504236,118.3699735
WNH,Wenshan,China,23.3723576,104.2496984
WNZ,Wenzhou,China,28.0199809,120.6500927
WUA,Wuhai,China,39.66469647,106.8122294
WUH,Wuhan,China,30.58003135,114.270017
WUS,Wuyishan,China,27.75,118.04
WUX,Wuxi,China,31.57999615,120.2999849
WUZ,Wuzhou,China,23.48002545,111.3200162
WXN,Wanzhou,China,30.81999086,108.4000394
XEN,Xingcheng,China,40.733333,118.616667
XFN,Xiangyang,China,32.05,112.016667
XIC,Xichang,China,27.88001528,102.2999983
XIL,Xilinhot,China,43.94433189,116.0443274
XIN,Xingning,China,24.15,115.75
XIY,Xi'an,China,34.447222,108.751667
XMN,Xiamen,China,24.44999208,118.080017
XNN,Xining,China,36.6199986,101.7700048
XNT,Xingtai,China,37.071944,114.484444
XTA,Econ/Tech Dev. Area,China,39.142222,117.176667
XTF,Port Free Trade Zone,China,39.142222,117.176667
XUZ,Xuzhou,China,34.28001223,117.1800203
YBP,Yibin,China,28.7699868,104.5700406
YCU,Yuncheng,China,35.183333,111.05
YIC,Yichun (Jiangxi),China,27.82,114.42
YIE,Aershan,China,47.18,119.94
YIH,Yichang,China,30.69997235,111.2800187
YIN,Yining,China,43.90001935,81.35001094
YIW,Yiwu,China,29.266667,120.05
YLN,Yilan,China,24.75,121.75
YNJ,Yanji,China,42.88230369,129.5127559
YNT,Yantai,China,37.53040814,121.4000211
YNZ,Yancheng,China,33.3855556,120.1252778
YTY,Yangzhou,China,32.39999778,119.4300122
YUA,Yuanmou,China,25.65,101.916667
YUS,Yushu,China,44.84,126.53
YZY,Zhangye,China,38.9299868,100.4500337
ZAS,Shunde Ferry,China,22.840833,113.245278
ZAT,Zhaotong,China,27.316667,103.8
ZAX,Pan Yu Ferry,China,25.083333,119.05
ZBD,Jiang Men Ferry,China,28.739167,118.622778
ZBZ,Xin Hui Ferry,China,44.018333,114.955556
ZCA,Tai Shan,China,36.5,117.333333
ZCU,She Kou Ferry,China,22.466667,114.433333
ZEF,Nanhai Ferry,China,39.966667,119.783333
ZGC,Zhongchuan,China,36.016667,103.716667
ZGN,Zhongshan Ferry Port,China,22.516667,113.366667
ZHA,Zhanjiang,China,21.19998374,110.3800219
ZHY,Zhongwei,China,37.5,105.2
ZIY,Lianhuashan Port,China,23.216667,113.433333
ZQZ,Zhangjiakou,China,40.83000002,114.9299768
ZTI,Humen Port,China,22.826667,113.671667
ZUH,Zhuhai,China,22.2769444,113.5677778
ZYI,Zunyi,China,27.70002626,106.9200264
ZYK,Shekou Port,China,30.7,114.35
